case_id,medsam2_dice,time_medsam
case_001,0.2524184743187423,28.813814878463745
case_002,0.20350227133905854,30.746290683746338
case_003,0.14342110697306057,28.750882387161255
case_004,0.21996340601386383,30.1271333694458
case_005,0.20275582152253943,28.523993730545044
case_006,0.23276000306767713,30.024869203567505
case_007,0.19064572691143403,28.51552128791809
case_008,0.18628458398549091,30.706023693084717
case_009,0.2427436590185088,28.832301378250122
case_010,0.17508346817967677,30.10521674156189
case_011,0.12530812667916752,28.731077432632446
case_012,0.18923211882739707,30.175050497055054
case_013,0.09741514248624375,28.780014276504517
case_014,0.14039862296302205,30.061195611953735
case_015,0.261215466020759,28.53003764152527
case_016,0.37538725994808625,30.084673404693604
case_017,0.06125716418570159,29.1295485496521
case_018,0.1534695250665628,30.433696031570435
case_019,0.1515767880663234,29.158324003219604
case_020,0.17879223432451433,30.706046104431152
case_021,0.1489033995012718,28.47404718399048
case_022,0.17569512907982096,30.417114734649658
case_023,0.16257955622823764,28.486916303634644
case_024,0.14851861549737555,30.680658102035522
case_025,0.09004594421717776,28.85949993133545
case_026,0.3585591615739743,30.15520429611206
case_027,0.3818044904187226,28.776275396347046
case_028,0.19034161142213873,30.56016492843628
case_029,0.12418194758678154,28.871980667114258
case_030,0.24324733538452337,30.04939317703247
case_031,0.09798325953257406,29.69123864173889
case_032,0.1420481135444935,29.993833541870117
case_033,0.23587680686309612,30.803071975708008
case_034,0.12586009210634672,30.24178957939148
case_035,0.2146635609100428,30.84816861152649
case_036,0.18156743871214573,29.905725955963135
case_037,0.12792113847007502,30.516533613204956
case_038,0.11894867868476464,29.885796546936035
case_039,0.2097693213636876,30.25205683708191
case_040,0.1566115641170428,28.26384711265564
case_041,0.30759525207195243,30.1873517036438
case_042,0.20849176444641127,28.173075914382935
case_043,0.3598071458568538,30.39496874809265
case_044,0.4443363514225789,28.03514790534973
case_045,0.05677711520623919,30.69283962249756
case_046,0.15668327603654178,28.986210823059082
case_047,0.2012203057196408,30.269793272018433
case_048,0.25713551356114756,28.414579153060913
case_049,0.11448057708421684,30.288289785385132
case_050,0.16633062832261908,28.72890543937683
case_051,0.189909455963685,30.42211079597473
case_052,0.07254502633584822,28.529852151870728
case_053,0.032843819339004016,30.30160903930664
case_054,0.13749525169301705,29.45747399330139
case_055,0.09451230308410496,30.718815803527832
case_056,0.13324544336590224,29.069376230239868
case_057,0.1741634994404847,30.25862693786621
case_058,0.14985523726758224,28.508655071258545
case_059,0.0906559330094279,30.30151104927063
case_060,0.345840003537788,29.063226222991943
case_061,0.12086257339418874,30.687102794647217
case_062,0.025700421678259814,29.00101065635681
case_063,0.11114557324290777,30.08484697341919
case_064,0.29232082174985874,28.397235870361328
